SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,152 Lombard St #507,San Francisco,CA,94111,1099000,2,2.0,San Francisco,1206,94533,1975,1,911,1285,Active,March-4-2023 02:00 PM,March-4-2023 04:00 PM,https://www.redfin.com/CA/San-Francisco/152-Lombard-St-94111/unit-507/home/1330360,San Francisco MLS,423723570,N,Y,37.8043962,-122.4041505
MLS Listing,,Condo/Co-op,3620 Cesar Chavez #104,San Francisco,CA,94110,699000,1,1.0,SAN FRANCISCO,743,,2020,8,941,495,Active,,,https://www.redfin.com/CA/San-Francisco/3620-Cesar-Chavez-94110/unit-104/home/171027295,MLSListings,ML81919357,N,Y,37.7483761,-122.4219282
MLS Listing,,Single Family Residential,45 Ney St,San Francisco,CA,94112,998000,3,2.0,San Francisco,1250,2495,1918,18,798,,Active,,,https://www.redfin.com/CA/San-Francisco/45-Ney-St-94112/home/1371342,San Francisco MLS,423720117,N,Y,37.7301531,-122.4292632
MLS Listing,,Condo/Co-op,1 Hawthorne St Unit 15B,San Francisco,CA,94105,630000,1,1.0,San Francisco,558,,2010,18,1129,849,Active,,,https://www.redfin.com/CA/San-Francisco/1-Hawthorne-St-94105/unit-15B/home/40399186,San Francisco MLS,423720184,N,Y,37.7857425,-122.3988969
MLS Listing,,Condo/Co-op,250 King St #812,San Francisco,CA,94107,724900,1,1.0,Mission Bay,888,213232,2004,19,816,862,Active,,,https://www.redfin.com/CA/San-Francisco/250-King-St-94107/unit-812/home/22889822,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41017452,N,Y,37.7781222,-122.3932903
MLS Listing,,Single Family Residential,196 Ocean Ave,San Francisco,CA,94112,1995000,6,3.0,San Francisco,,3667,1904,1,,,Active,March-7-2023 02:00 PM,March-7-2023 04:00 PM,https://www.redfin.com/CA/San-Francisco/196-Ocean-Ave-94112/home/700373,San Francisco MLS,423723561,N,Y,37.7235758,-122.4407234
MLS Listing,,Condo/Co-op,2206 Vallejo St,San Francisco,CA,94123,1995000,2,2.0,San Francisco,1736,8270,1913,1,1149,,Active,March-4-2023 01:00 PM,March-4-2023 03:00 PM,https://www.redfin.com/CA/San-Francisco/2206-Vallejo-St-94123/home/1667040,BAREIS,423721900,N,Y,37.795671,-122.433865
MLS Listing,,Single Family Residential,958 Ingerson Ave,San Francisco,CA,94124,1300000,3,2.0,Bayview,1484,2500,1975,1,876,,Active,March-2-2023 05:00 PM,March-2-2023 07:00 PM,https://www.redfin.com/CA/San-Francisco/958-Ingerson-Ave-94124/home/743697,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41020341,N,Y,37.7188296,-122.3921427
MLS Listing,,Condo/Co-op,10 Innes Ct #102,San Francisco,CA,94124,899000,3,2.0,San Francisco,1223,,2018,1,735,,Active,,,https://www.redfin.com/CA/San-Francisco/10-Innes-Ct-94124/unit-102/home/169576550,San Francisco MLS,423723935,N,Y,37.7280682,-122.3679965
MLS Listing,,Single Family Residential,2028 Leavenworth St,San Francisco,CA,94133,9500000,4,6.0,San Francisco,4816,1820,2017,1,1973,,Active,,,https://www.redfin.com/CA/San-Francisco/2028-Leavenworth-St-94133/home/960549,San Francisco MLS,423720072,N,Y,37.7998774,-122.4172673
MLS Listing,,Vacant Land,1947 Palou Ave,San Francisco,CA,94124,828000,,,San Francisco,,2495,,1,,,Active,,,https://www.redfin.com/CA/San-Francisco/1947-Palou-Ave-94124/home/946492,San Francisco MLS,423721412,N,Y,37.7375769,-122.3975556
MLS Listing,,Condo/Co-op,690 Market St #901,San Francisco,CA,94104,1785000,2,2.5,San Francisco,1735,11358,2007,1,1029,3298,Active,,,https://www.redfin.com/CA/San-Francisco/690-Market-St-94104/unit-901/home/12277375,San Francisco MLS,423724057,N,Y,37.7883046,-122.4032778
MLS Listing,,Condo/Co-op,1960 Broadway,San Francisco,CA,94109,11250000,3,4.5,San Francisco,4360,16869,,1,2580,5497,Active,,,https://www.redfin.com/CA/San-Francisco/1960-Broadway-94109/home/12395515,San Francisco MLS,423724157,N,Y,37.7951341,-122.4294052
MLS Listing,,Condo/Co-op,1310 Greenwich St #401,San Francisco,CA,94109,3395000,2,2.0,San Francisco,1912,2639,1924,1,1776,877,Active,March-4-2023 02:00 PM,March-4-2023 04:00 PM,https://www.redfin.com/CA/San-Francisco/1310-Greenwich-St-94109/unit-401/home/148072726,San Francisco MLS,423724023,N,Y,37.8009108,-122.4214232
MLS Listing,,Single Family Residential,2106 22nd Ave,San Francisco,CA,94116,2180000,3,3.0,San Francisco,2402,2345,1935,1,908,,Active,March-4-2023 01:00 PM,March-4-2023 04:30 PM,https://www.redfin.com/CA/San-Francisco/2106-22nd-Ave-94116/home/1022987,San Francisco MLS,423724108,N,Y,37.748308,-122.4791196
MLS Listing,,Single Family Residential,390 Somerset St,San Francisco,CA,94134,988888,2,1.0,San Francisco,1125,1751,1926,1,879,,Active,,,https://www.redfin.com/CA/San-Francisco/390-Somerset-St-94134/home/776192,San Francisco MLS,423724089,N,Y,37.7267441,-122.4078045
MLS Listing,,Multi-Family (2-4 Unit),1287 - 1291 3rd Ave,San Francisco,CA,94122,2095000,5,4.0,San Francisco,3416,2374,1907,1,613,,Active,March-5-2023 02:00 PM,March-5-2023 04:00 PM,https://www.redfin.com/CA/San-Francisco/1287-3rd-Ave-94122/home/625327,San Francisco MLS,423724066,N,Y,37.7645517,-122.4601894
MLS Listing,,Single Family Residential,336 North Wilde Ave,San Francisco,CA,94134,988888,2,1.0,San Francisco,1233,2500,1924,1,802,,Active,,,https://www.redfin.com/CA/San-Francisco/336-Wilde-Ave-94134/home/1471922,San Francisco MLS,423724059,N,Y,37.7168121,-122.4034327
MLS Listing,,Condo/Co-op,3230 Washington St,San Francisco,CA,94115,1800000,3,2.0,San Francisco,1618,2565,1904,1,1112,300,Active,March-2-2023 05:00 PM,March-2-2023 06:00 PM,https://www.redfin.com/CA/San-Francisco/3230-Washington-St-94115/home/40628984,San Francisco MLS,423721417,N,Y,37.7901868,-122.4464685
